Archivo,Tamano (MB)
BIOGRID-ORCS-SCREEN_1938-1.1.16.screen.csv,2.174656867980957
BIOGRID-ORCS-SCREEN_1059-1.1.16.screen.csv,2.17459774017334
BIOGRID-ORCS-SCREEN_1629-1.1.16.screen.csv,2.174112319946289
BIOGRID-ORCS-SCREEN_1169-1.1.16.screen.csv,2.1739501953125
BIOGRID-ORCS-SCREEN_1939-1.1.16.screen.csv,2.1738948822021484
BIOGRID-ORCS-SCREEN_2114-1.1.16.screen.csv,2.170567512512207
BIOGRID-ORCS-SCREEN_2116-1.1.16.screen.csv,2.1693458557128906
BIOGRID-ORCS-SCREEN_2119-1.1.16.screen.csv,2.1692638397216797
BIOGRID-ORCS-SCREEN_1862-1.1.16.screen.csv,2.166293144226074
BIOGRID-ORCS-SCREEN_1457-1.1.16.screen.csv,2.1635570526123047
BIOGRID-ORCS-SCREEN_1385-1.1.16.screen.csv,2.1608448028564453
BIOGRID-ORCS-SCREEN_1386-1.1.16.screen.csv,2.1607894897460938
BIOGRID-ORCS-SCREEN_1384-1.1.16.screen.csv,2.160776138305664
BIOGRID-ORCS-SCREEN_1382-1.1.16.screen.csv,2.1605262756347656
BIOGRID-ORCS-SCREEN_1383-1.1.16.screen.csv,2.1604909896850586
BIOGRID-ORCS-SCREEN_2020-1.1.16.screen.csv,2.1537885665893555
BIOGRID-ORCS-SCREEN_1817-1.1.16.screen.csv,2.1483802795410156
BIOGRID-ORCS-SCREEN_1451-1.1.16.screen.csv,2.1455421447753906
BIOGRID-ORCS-SCREEN_1191-1.1.16.screen.csv,2.145512580871582
BIOGRID-ORCS-SCREEN_1192-1.1.16.screen.csv,2.139716148376465
BIOGRID-ORCS-SCREEN_2040-1.1.16.screen.csv,2.138721466064453
BIOGRID-ORCS-SCREEN_1452-1.1.16.screen.csv,2.138150215148926
BIOGRID-ORCS-SCREEN_2041-1.1.16.screen.csv,2.135862350463867
BIOGRID-ORCS-SCREEN_2023-1.1.16.screen.csv,2.135622024536133
BIOGRID-ORCS-SCREEN_1791-1.1.16.screen.csv,2.135477066040039
BIOGRID-ORCS-SCREEN_1045-1.1.16.screen.csv,2.1354246139526367
BIOGRID-ORCS-SCREEN_2046-1.1.16.screen.csv,2.1351804733276367
